code_insee,nom_commune,code_departement,population
55315,Mandres-en-Barrois,55,112
55330,Méligny-le-Grand,55,89
55331,Méligny-le-Petit,55,74
55344,Montbras,55,21
55350,Montigny-lès-Vaucouleurs,55,77
55356,Moranville,55,103
55363,Moulotte,55,87
55394,Ornes,55,8
55395,Osches,55,59
55422,Regnéville-sur-Meuse,55,50
55431,Richecourt,55,56
55465,Saint-Remy-la-Calonne,55,99
55475,Sauvoy,55,70
55485,Sepvigny,55,74
55534,Vaudeville-le-Haut,55,49
55560,Villers-aux-Vents,55,127
55565,Villers-sous-Pareid,55,74
55570,Villotte-sur-Aire,55,212
55572,Vittarville,55,91
55579,Watronville,55,102
59147,Choisies,59,44
59171,Dehéries,59,42
59240,Floursies,59,127
60354,Laverrière,60,28
60502,Le Plessis-Patte-d'Oie,60,107
60571,Saint-Deniscourt,60,80
60602,Saint-Valery,60,54
61012,Auguaise,61,197
61030,La Bazoque,61,272
61049,Boissei-la-Lande,61,109
61056,Le Bouillon,61,167
61082,Le Chalange,61,84
61085,Le Champ-de-la-Pierre,61,29
61104,La Chaux,61,53
61113,Comblot,61,61
61122,Coulmer,61,81
61170,Fleuré,61,205
61225,Lignères,61,29
61259,Le Ménil-Bérard,61,68
61272,Le Ménil-Vicomte,61,26
61295,La Motte-Fouquet,61,159
61451,Saint-Quentin-les-Chardonnets,61,317
61499,Les Ventes-de-Bourse,61,146
62102,Bécourt,62,281
62223,Chérisy,62,291
62243,Coullemont,62,116
62342,Fontaine-lès-Boulans,62,103
62358,Fresnoy-en-Gohelle,62,234
62455,Hocquinghen,62,116
62490,Lattre-Saint-Quentin,62,318
62494,Léchelle,62,45
62605,Neulette,62,22
62607,Neuville-au-Cornet,62,62
62625,Noyelles-lès-Humières,62,57
62778,Sars-le-Bois,62,79
62790,Senlis,62,161
62814,Thièvres,62,92
63087,La Chapelle-Marcousse,63,64
63176,Heume-l'Église,63,113
63359,Saint-Hilaire-les-Monges,63,84
64002,Abère,64,159
64011,Aincille,64,114
64027,Anos,64,178
64043,Argelos,64,274
64071,Athos-Aspis,64,211
64082,Auterrive,64,143
64088,Balansun,64,313
64111,Bentayou-Sérée,64,108
64162,Camou-Cihigue,64,105
64167,Carrère,64,217
64203,Doumy,64,327
64229,Gamarthe,64,127
64243,Géus-d'Arzacq,64,218
64257,Haut-de-Bosdarros,64,325
64262,Higuères-Souye,64,276
64338,Lespourcy,64,183
64346,Lombia,64,208
64355,Louvigny,64,136
64385,Miossens-Lanusse,64,281
64394,Monpezat,64,81
64401,Mont-Disse,64,81
64418,Noguères,64,125
64429,Orsanco,64,103
64434,Ossenx,64,52
64437,Ostabat-Asme,64,224
64456,Pouliacq,64,50
64465,Riupeyrous,64,238
64494,Saint-Pé-de-Léren,64,268
64539,Uhart-Mixe,64,217
64544,Urost,64,77
65013,Ansost,65,57
65015,Antin,65,94
65034,Arrodets,65,23
65038,Artigues,65,13
65052,Averan,65,86
65053,Aveux,65,41
65067,Barry,65,133
65071,Batsère,65,36
65076,Bazus-Neste,65,46
65088,Betbèze,65,46
65096,Bonnemazon,65,71
65102,Bouilh-Devant,65,22
65107,Bourréac,65,118
65110,Bugard,65,97
65118,Caharet,65,30
65132,Castéra-Lanusse,65,45
65134,Casterets,65,17
65155,Devèze,65,50
65160,Escaunets,65,117
65164,Escoubès-Pouts,65,94
65167,Espieilh,65,25
65170,Estampures,65,74
65181,Fréchou-Fréchet,65,173
65204,Gonez,65,29
65222,Hitte,65,137
65232,Jacque,65,67
65253,Lamarque-Rustaing,65,54
65261,Laran,65,46
65270,Lespouey,65,207
65275,Lies,65,74
65297,Mansan,65,40
65308,Mazerolles,65,110
65317,Mont,65,35
65321,Montignac,65,136
65325,Moumoulous,65,44
65364,Pintac,65,22
65381,Sabarros,65,33
65402,Samuran,65,26
65411,Sassis,65,72
65419,Sentous,65,77
65423,Sère-Rustaing,65,128
65426,Sinzos,65,136
65430,Soréac,65,46
65438,Talazac,65,76
65443,Thuy,65,18
65461,Vidou,65,81
66001,L'Albère,66,63
66040,Casefabre,66,43
69123,Lyon,69,520774
70010,Alaincourt,70,98
70014,Amblans-et-Velotte,70,400
70019,Andelarre,70,149
70027,Argillières,70,72
70030,Arsans,70,44
70032,Attricourt,70,47
70082,Bouhans-lès-Montbozon,70,125
70140,Châteney,70,63
70215,Errevet,70,258
70274,Grandecourt,70,48
70288,Hyet,70,119
70301,Lieffrans,70,51
70332,Marast,70,49
70389,Noiron,70,58
70394,Onay,70,62
70440,Recologne,70,32
70443,La Grande-Résie,70,89
70450,La Rochelle,70,45
70462,Saint-Ferjeux,70,79
70471,Sainte-Reine,70,22
70545,Venisey,70,134
70569,Vilory,70,68
70571,Visoncourt,70,37
71031,Berzé-le-Châtel,71,56
71179,Dompierre-sous-Sanvignes,71,77
71217,Germolles-sur-Grosne,71,130
71278,Marigny,71,164
71427,Saint-Huruge,71,52
72015,Les Aulneaux,72,107
72238,Pizieux,72,74
75056,Paris,75,2113705
76052,Bailleul-Neuville,76,221
76074,La Bellière,76,50
76083,Bertheauville,76,101
76091,Beuzeville-la-Guérard,76,236
76149,Butot,76,281
76151,Cailleville,76,247
76161,Carville-Pot-de-Fer,76,103
76168,Les Cent-Acres,76,66
76171,La Chapelle-Saint-Ouen,76,143
76180,Cleuville,76,188
76274,La Fontelaye,76,24
76306,Gonnetot,76,170
76309,Gonzeville,76,121
76393,Longmesnil,76,46
76405,Manéhouville,76,216
76428,Le Mesnil-Durdent,76,17
76505,Pommereux,76,94
76585,Saint-Gilles-de-Crétot,76,387
76703,Touffreville-sur-Eu,76,230
76710,Trémauville,76,100
76756,Yquebeuf,76,239
77036,Boisdon,77,135
77225,La Haute-Maison,77,342
78194,Dannemarie,78,226
78264,Gambaiseuil,78,65
78406,Milon-la-Chapelle,78,292
78606,Le Tartre-Gaudran,78,37
80026,Arguel,80,32
80032,Assainvillers,80,134
80038,Auchonvillers,80,124
80046,Avelesges,80,51
80132,Braches,80,205
80157,Bussy-lès-Poix,80,92
80158,Buverchy,80,45
80181,Cayeux-en-Santerre,80,123
80189,La Chavatte,80,64
80201,Coigneux,80,49
80219,Courcelles-sous-Thoix,80,66
80270,Épécamps,80,7
80297,Étréjust,80,41
80304,Fay,80,93
80311,Fignières,80,143
80325,Fontaine-lès-Cappy,80,56
80334,Fossemanant,80,101
80435,Hesbécourt,80,49
80449,Ignaucourt,80,65
80491,Longuevillette,80,70
80528,Méréaucourt,80,9
80531,Méricourt-en-Vimeu,80,104
80565,Montonvillers,80,86
80575,Mouflières,80,73
80587,Neslette,80,89
80648,Pys,80,126
80697,Saint-Acheul,80,36
80719,Sainte-Segrée,80,48
80744,Tailly,80,57
80756,Thièvres,80,57
80794,Villecourt,80,47
80797,Villers-aux-Érables,80,145
80819,Wargnies,80,78
80832,Yvrench,80,298
81006,Algans,81,213
